Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
18237,0.9,Good,I,VVS1,63.6,58.0,6.1,6.14,3.89,4187
11024,0.8,Premium,J,SI1,58.4,59.0,6.12,6.04,3.55,2016
1816,1.02,Good,J,SI2,63.1,58.0,6.34,6.38,4.01,3298
2412,1.27,Very Good,I,VS2,62.6,59.0,6.86,6.95,4.32,6007
924,2.02,Very Good,H,SI2,63.1,54.0,8.09,7.99,5.07,13655
19957,2.05,Ideal,J,SI1,60.3,60.0,8.17,8.24,4.95,14037
14305,0.71,Fair,F,SI1,62.6,57.0,5.73,5.68,3.57,2088
81,0.31,Very Good,G,VS1,60.5,57.0,4.39,4.42,2.67,640
6526,0.5,Good,H,VVS2,66.1,58.0,4.87,4.9,3.23,1214
3418,1.31,Ideal,G,VS1,61.6,57.0,6.99,7.04,4.32,12008
10599,0.72,Very Good,D,SI2,59.8,60.0,5.76,5.81,3.46,2294
16114,1.13,Ideal,I,SI1,,57.0,6.68,6.66,4.13,5149
25371,0.7,Very Good,F,VS2,61.4,57.0,5.73,5.76,3.53,2400
12009,0.31,Ideal,I,VVS1,62.0,54.0,4.34,4.37,2.7,571
1471,1.01,Good,D,SI2,63.6,61.0,6.35,6.33,4.03,3959
17154,0.54,Ideal,I,VS1,61.5,56.0,5.24,5.26,3.23,1147
5757,0.31,Ideal,F,VS2,61.9,57.0,4.34,4.32,2.68,749
24669,0.43,Ideal,J,VS1,61.7,58.0,4.8,4.84,2.98,703
16577,1.53,Ideal,F,SI1,62.5,57.0,7.38,7.31,4.59,11525
25462,1.0,Premium,F,VS1,61.3,59.0,6.45,6.42,3.95,6692
3798,2.01,Very Good,E,SI1,60.8,59.0,8.14,8.2,4.97,16956
22248,0.54,Premium,G,SI2,61.4,59.0,5.24,5.21,3.21,1195
10140,0.35,Ideal,I,VS2,59.8,57.0,4.6,4.59,2.75,630
13161,1.2,Very Good,H,SI2,60.7,60.0,6.81,6.89,4.16,4831
11274,0.43,Premium,F,SI2,61.8,57.0,4.88,4.83,3.0,871
17268,0.4,Very Good,D,VS1,63.3,57.0,4.66,4.72,2.97,967
19100,0.53,Ideal,F,VS1,61.6,55.0,5.21,5.24,3.22,1619
19528,1.01,Premium,F,VS2,61.6,59.0,6.43,6.39,3.95,6707
12738,1.0,Very Good,E,SI1,63.3,57.0,6.3,6.36,4.01,5051
4268,1.0,Ideal,E,SI1,62.7,57.0,6.39,6.49,4.04,5622
23000,2.02,Very Good,H,SI1,59.3,60.0,8.14,8.21,4.85,18236
20912,2.02,Very Good,J,VS2,59.3,60.0,8.28,8.34,4.93,13693
11665,1.01,Good,G,SI1,63.3,59.0,6.24,6.31,3.97,4781
17987,0.3,Ideal,D,SI1,61.4,56.0,4.32,4.35,2.66,552
20326,0.33,Ideal,F,VVS1,62.1,56.0,4.43,4.46,2.76,828
22153,0.53,Ideal,H,VVS1,61.2,56.0,5.25,5.27,3.22,1842
